Artist,Title,YouTubeLink,Option1,Option2,Option3,Option4,Option5
Queen,Bohemian Rhapsody,https://www.youtube.com/watch?v=yl3TsqL0ZPw&t=5,Let Rhapsody,Somebody to Love,Don't Stop Me Now,Another One Bites the Dust,Bohemian Rhapsody
The Beatles,Hey Jude,https://www.youtube.com/watch?v=mQER0A0ej0M&t=5,Let It Be,Hey Jude,Yesterday,Twist and Shout,Come Together
Led Zeppelin,Stairway to Heaven,https://www.youtube.com/watch?v=Ly6ZhQVnVow&t=5,Let7 Lotta Love,Kashmir,Stairway to Heaven,Whole Lotta Love,Immigrant Song
The White Stripes,Seven Nation Army,https://www.youtube.com/watch?v=0J2QdDbelmY,Blue Orchid,Black Math,We're Going To Be Friends,My Doorbell,Seven Nation Army
Linkin Park,In The End,https://www.youtube.com/watch?v=eVTXPUF4Oz4,Numb,New Divide,Somewhere I Belong,In The End,Burn It Down
Bon Jovi,Livin' On A Prayer,https://www.youtube.com/watch?v=lDK9QqIzhwk,Livin' On A Prayer,It's My Life,Bed Of Roses,Never Say Goodbye,You Give Love A Bad Name
AC/DC,Back In Black,https://www.youtube.com/watch?v=pAgnJDJN4VA,High Voltage,Back In Black,Thunderstruck,T.N.T,It's A Long Way To The Top
AC/DC,It's A Long Way To The Top,https://www.youtube.com/watch?v=g-qkY2yj4_A,High Voltage,Back In Black,Thunderstruck,T.N.T,It's A Long Way To The Top
Joan Jett & The Blackhearts,I Love Rock ’n’ Roll,https://www.youtube.com/watch?v=wMsazR6Tnf8&t=29,Bad Reputation,I Love Rock ’n’ Roll,Fake Friends,Love Is Pain,Love Hurts
Joan Jett & The Blackhearts,Love Hurts,https://www.youtube.com/watch?v=rhnZ19sbxps,Bad Reputation,I Love Rock ’n’ Roll,Fake Friends,Love Is Pain,Love Hurts
Twisted Sister,Love Is For Suckers,https://www.youtube.com/watch?v=dQ9mPiqCOUU,Love Is For Suckers,Stay Hungry,I Wanna Rock,The Price,You Can't Stop Rock 'N' Roll
Europe,Final Countdown,https://www.youtube.com/watch?app=desktop&v=9jK-NcRmVcw&t=10s,Open Your Heart,Rock The Night,Superstitious,Final Countdown,The Count Up
Europe,Superstitious,https://www.youtube.com/watch?v=5gU5Vg2JokU,Open Your Heart,Rock The Night,Superstitious,Final Countdown,The Count Up
Steve Miller Band,Abracadabra,https://www.youtube.com/watch?v=tY8B0uQpwZs,Abracadabra,Fly Like an Eagle,Living in the U.S.A,Take The Money And Run,Jet Airliner
Bonnie Tyler,Total Eclipse of The Heart,https://www.youtube.com/watch?v=lcOxhH8N3Bo,Total Eclipse of The Heart,Making Love,Fools Lullaby,Its a Heartache,If You Were a Woman
Steve Miller Band,The Joker,https://www.youtube.com/watch?v=dV3AziKTBUo,Abracadabra,The Stake,Living in the U.S.A,The Joker,Jet Airliner
Steve Miller Band,The Stake,https://www.youtube.com/watch?v=EFOjLc6vjas,Abracadabra,The Stake,Living in the U.S.A,The Joker,Jet Airliner
Gnarls Barkley,Crazy,https://www.youtube.com/watch?v=-N4jf6rtyuw,Crazy,I Remember When I Lost My Mind,Just a Thought,Going On,Run
Michael Jackson,Billie Jean,https://www.youtube.com/watch?v=Zi_XLOBDo_Y,Billie Jean,Bad,Smooth Criminal,Going On,Thriller
Michael Jackson,Smooth Criminal,https://youtu.be/h_D3VFfhvs4?si=_3sPLqWqhFOIhQ9G&t=66,Billie Jean,Bad,Smooth Criminal,Going On,Thriller
Dead Boys,Sonic Reducer,https://www.youtube.com/watch?v=-3YbedLa5I0,Ain't It fun,Sonic Reducer,Son of Sam,Not Anymore,High Tension Wire
Dead Boys,High Tension Wire,https://www.youtube.com/watch?v=M-A5Gu_2_Bs,Ain't It fun,All This and More,Sonic Reducer,Not Anymore,High Tension Wire
Dead Boys,Ain't It Fun,https://www.youtube.com/watch?v=0oaXNXw_Gaw,Ain't It fun,All This and More,Son of Sam,Sonic Reducer,High Tension Wire
Sex Pistols,Bodies,https://youtu.be/vxkQXK0kRd0?si=UDc-_zp_NAglue1Q&t=68,Bodies,Anarchy In The U.K,Submission,Seventeen,God Save The Queen
Sex Pistols,God Save The Queen,https://www.youtube.com/watch?v=yqrAPOZxgzU,Bodies,Anarchy In The U.K,Submission,Seventeen,God Save The Queen
Sex Pistols,Seventeen,https://www.youtube.com/watch?v=eicHCvy486s,Bodies,Anarchy In The U.K,Submission,Seventeen,God Save The Queen
